Reportnumber,NonMotoristID,NonMotoristActions,NonMotoristAlcoholTestindicator,NonMotoristAlcoholTestType,NonMotoristBAC,NonMotoristCondition,NonMotoristDOB,NonMotoristDrugTestIndicator,NonMotoristDrugTestResult,NonMotoristInjurySeverity,NonMotoristLocation,NonMotoristMovement,NonMotoristObeyTrafficSignal,NonMotoristSafetyEquipment,NonMotoristSex,NonMotoristSubstanceUse,NonMotoristType,NonMotoristUnitNumberFirstStrike,NonMotoristVisibility
MTA0354001B,8e3af52c-6090-4647-a005-0e4e792ef8e7,Other,N/A,,,,12/16/1986,N/A,,Possible Injury,Curb,Other,N/A,N/A,F,None Detected,Other,1,Reflective Material
ADJ268004D,45aebd05-25f1-4df2-8cbd-1512f05fa561,No Improper Actions,N/A,,,Apparently Normal,8/12/1979,N/A,,Possible Injury,On Roadway Not at Crosswalk,Other Working,N/A,Reflective Clothing,M,None Detected,Pedestrian,1,Reflective Material
ADK1450008,881e6820-1820-4c3d-97b6-4cdaa52e1c7c,Unknown,N/A,,,N/A,1/20/1968,N/A,,Suspected Minor Injury,Shoulder,Unknown,Unknown,Unknown,M,N/A,Pedestrian,1,Unknown
ADG445008S,c5a61891-935a-4cb4-8af6-591676face2b,Dart Dash,N/A,,,Apparently Normal,5/8/1950,N/A,,Fatal Injury,Outside Right of Way,Cross/Enter Not at Intersection,No Pedestrian Signal,N/A,F,None Detected,Pedestrian,1,Dark Clothing
ADF784008Z,14219013-ca82-4fd7-928a-e8b2edd2a29b,In Roadway Improperly,Other,Other,0.25,Had Been Drinking,1/29/1978,N/A,,Fatal Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,None,M,Alcohol Present,Pedestrian,1,Mixed Clothing
ADJ139001R,d52519b2-55bd-4d1c-bf91-a321ea246977,No Improper Actions,N/A,,,Apparently Normal,5/1/1982,N/A,,Suspected Minor Injury,N/A,Standing,N/A,N/A,F,N/A,Pedestrian,,Mixed Clothing
ADG7910021,b6b7c0cc-4c3b-4e14-ac98-23c08d9112c0,No Improper Actions,N/A,,,Apparently Normal,6/30/1974,N/A,,Possible Injury,Other,Standing,N/A,N/A,M,N/A,Pedestrian,1,N/A
ADI114007R,3ff99983-0387-4ef1-a080-402306740d14,N/A,N/A,,,,2/18/1950,N/A,,Possible Injury,Other,Standing,N/A,N/A,F,N/A,Pedestrian,,Mixed Clothing
HF03080009,da0ab7cd-dae5-4a02-b81b-13eff1c567dd,Unknown,N/A,,,Apparently Normal,6/28/1990,N/A,,Suspected Minor Injury,Curb,Walking/Riding Against Traffic,N/A,N/A,M,N/A,Pedestrian,,N/A
ADH321001V,dc9a0a19-d479-4937-9b93-4f212ba5feda,Improper Passing,N/A,,,N/A,6/22/1987,N/A,,Possible Injury,Other,Standing,N/A,N/A,F,N/A,Pedestrian,1,Other
ADI5190066,706590b4-c6ab-4c5f-bad0-36be1d3b4144,Inattentive,N/A,,,Apparently Normal,7/20/1969,N/A,,Possible Injury,Other,Other,N/A,N/A,M,None Detected,Pedestrian,1,Mixed Clothing
ADJ058001J,4eb01d6f-e841-4f58-a27a-3502ebf46d49,Not Visible,N/A,,,Apparently Normal,10/27/1958,N/A,,Suspected Minor Injury,N/A,Cross/Enter Not at Intersection,N/A,N/A,M,None Detected,Pedestrian,1,Dark Clothing
ADJ977001G,9041972f-3c16-421c-b3db-b716de65ddd3,Inattentive,N/A,,,,1/3/2002,N/A,,Possible Injury,Other,Walking/Riding With Traffic,N/A,None,M,N/A,Bicyclist,,Light Clothing
ADH567004C,dfbd853d-c183-4dbb-b48c-0bca04b3d55b,No Improper Actions,N/A,,,Apparently Normal,5/24/1951,N/A,,Possible Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,No Pedestrian Signal,N/A,F,N/A,Pedestrian,1,Dark Clothing
ADJ3510043,39963467-86d2-4493-b592-2715abfcf547,No Improper Actions,N/A,,,Apparently Normal,9/27/1989,N/A,,Possible Injury,Curb,Cross/Enter at Intersection,No Pedestrian Signal,N/A,F,N/A,Pedestrian,1,Mixed Clothing
ADJ3510043,96a5e7c1-6b2a-4110-ae80-277736c2c22b,No Improper Actions,N/A,,,N/A,11/20/1991,N/A,,Possible Injury,Curb,Cross/Enter at Intersection,No Pedestrian Signal,N/A,M,N/A,Pedestrian,1,Mixed Clothing
ADI929001Q,8d79ccfe-2b98-417b-bd56-28568c31f54f,Other,N/A,,,N/A,4/16/2008,N/A,,Suspected Minor Injury,Other,Other,N/A,N/A,M,N/A,Pedestrian,1,Unknown
ADI3140013,6c78879e-12e2-4123-a9ca-827b5ac6a211,N/A,N/A,,,,9/21/1984,N/A,,Suspected Minor Injury,Other,Other,N/A,N/A,F,N/A,Pedestrian,,Mixed Clothing
ADI898007S,5cc69cfa-829c-4a1a-9c20-732b8ffe94a6,No Improper Actions,N/A,,,N/A,6/6/1958,N/A,,Possible Injury,Other,Other,No Pedestrian Signal,None,M,N/A,Pedestrian,1,Light Clothing
ADF944000Q,0873563c-ad44-4d85-b0b8-b9e0872eab75,No Improper Actions,N/A,,,Apparently Normal,1/15/1987,N/A,,Possible Injury,Sidewalk,Walking/Riding on Sidewalk,N/A,N/A,F,None Detected,Pedestrian,,N/A
ADJ951000W,53410eb3-30c6-4ee7-b7fd-fb83d3a7ed9a,No Improper Actions,N/A,,,Apparently Normal,6/2/1978,N/A,,Suspected Minor Injury,Sidewalk,Walking/Riding on Sidewalk,N/A,N/A,M,None Detected,Pedestrian,1,Mixed Clothing
ADK016000B,294c898c-8422-483e-90c7-cc6f77adb3a6,No Improper Actions,N/A,,,,5/4/1972,N/A,,Possible Injury,Sidewalk,Walking/Riding With Traffic,N/A,N/A,F,None Detected,Pedestrian,,Dark Clothing
ADK0660009,a4893945-a0b0-4eaa-92b0-d4884b1aaa62,Other,N/A,,,Had Been Drinking,1/27/1966,N/A,,Suspected Minor Injury,Other,Other,No Pedestrian Signal,N/A,M,Alcohol Present,Pedestrian,1,Dark Clothing
ADJ252007T,28548fa1-529f-44de-9e38-7ec26422226b,No Improper Actions,N/A,,,,1/30/2009,N/A,,Possible Injury,Other,Standing,N/A,N/A,F,N/A,Pedestrian,,Mixed Clothing
ADJ252007T,c5c4c85f-c85d-4fd6-8705-4cbddaafed10,No Improper Actions,N/A,,,Apparently Normal,4/27/1985,N/A,,Suspected Minor Injury,Other,Other,N/A,N/A,F,N/A,Pedestrian,,Light Clothing
ADJ622009K,66aac00c-02aa-458b-8f74-4b9b7dcc8e3d,No Improper Actions,N/A,,,,6/9/1998,N/A,,Suspected Minor Injury,Other,Other Working,Other,N/A,F,N/A,Pedestrian,1,Unknown
ADJ105001Q,4e009c43-9b9e-4a66-b0c5-608f1dad00fb,Inattentive,N/A,,,Apparently Normal,11/20/2001,N/A,,Suspected Minor Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,No Pedestrian Signal,None,F,N/A,Pedestrian,1,Light Clothing
ADK105001Y,28d11f36-fdfc-4735-888f-c093d4f0507d,Entering Exiting Parked Standing Vehicle,N/A,,,,5/5/1967,N/A,,Possible Injury,Unknown,Getting Off/On Vehicle,N/A,None,F,None Detected,Pedestrian,,N/A
ADI155003F,87b6584e-aec8-45a8-a8b5-c9faba9a25da,In Roadway Improperly,N/A,,,Apparently Normal,5/27/2001,N/A,,Possible Injury,Sidewalk,Cross/Enter at Intersection,N/A,None,M,N/A,Bicyclist,1,Dark Clothing
ADJ977001S,207972f7-5a1d-4fa3-a742-6974c351ae84,No Improper Actions,N/A,,,Apparently Normal,8/16/1999,N/A,,Suspected Minor Injury,Other,Standing,N/A,N/A,M,N/A,Machine Operator/Rider,,N/A
ADJ6640075,fab7f8f8-2cc3-4177-89e2-8f081423b37a,N/A,N/A,,,N/A,11/24/1969,N/A,,Possible Injury,Other,Other,N/A,N/A,M,N/A,Pedestrian,1,Other
ADG738004Q,3e2ddc66-436a-4226-8210-74d5361fda65,Dart Dash,N/A,,,Apparently Normal,7/21/2008,N/A,,Suspected Minor Injury,N/A,N/A,No Pedestrian Signal,None,M,None Detected,Pedestrian,1,Mixed Clothing
ADJ9690033,d3a4177f-771c-4f97-93f4-dcfc7f059647,Unknown,N/A,,,Apparently Normal,8/20/1988,N/A,,Possible Injury,Sidewalk,Walking/Riding on Sidewalk,No Pedestrian Signal,None,F,None Detected,Bicyclist,,Dark Clothing
ADG738004L,880f7b27-f7e0-46d6-a500-4b66ff27d901,Other,N/A,,,Apparently Normal,3/8/1976,N/A,,Possible Injury,Other,N/A,No Pedestrian Signal,None,F,None Detected,Pedestrian,,N/A
ADG738004L,e0813149-2fa4-47e4-9546-3a21ab1ed5a9,Not Visible,N/A,,,Apparently Normal,10/3/2015,N/A,,Suspected Serious Injury,Other,Playing,No Pedestrian Signal,None,M,None Detected,Pedestrian,1,N/A
ADG5400012,92d5982e-a77f-4d59-a659-5c9aabada31a,No Improper Actions,N/A,,,,4/28/1968,N/A,,Possible Injury,Curb,Walking/Riding With Traffic,N/A,None,M,None Detected,Pedestrian,,Mixed Clothing
ADG5400012,e29521d5-70f1-452d-aa48-e05a1123db72,No Improper Actions,N/A,,,,1/25/1972,N/A,,Possible Injury,Curb,Walking/Riding With Traffic,No Pedestrian Signal,None,F,None Detected,Pedestrian,,Mixed Clothing
ADD934001N,4094fb70-1b53-45dd-98b5-c37ab2e0c520,Other,N/A,,,Apparently Normal,10/3/1990,N/A,,Possible Injury,Sidewalk,Other,No Pedestrian Signal,N/A,M,N/A,Pedestrian,1,Dark Clothing
ADH9440041,50d24ae8-8890-4cee-a76e-588074c4691a,No Improper Actions,N/A,,,,8/17/1960,N/A,,Suspected Minor Injury,Other,Other,No Pedestrian Signal,None,F,None Detected,Pedestrian,1,N/A
ADJ969000F,d21abcde-1451-45e9-a374-40f2d13bdd39,No Improper Actions,N/A,,,,9/14/1962,N/A,,Possible Injury,Shoulder,Standing,N/A,N/A,M,None Detected,Pedestrian,1,Mixed Clothing
ADJ476005K,b0cc1501-99b6-4119-8a36-4bb7223829c4,No Improper Actions,N/A,,,,10/30/1990,N/A,,Possible Injury,On Roadway At Crosswalk,Other,N/A,N/A,F,None Detected,Pedestrian,,Light Clothing
ADJ899000C,8d39d2a4-b0ad-424d-9e91-6f5bb5797187,No Improper Actions,N/A,,,,5/17/1988,N/A,,Possible Injury,On Roadway Not at Crosswalk,Other,No Pedestrian Signal,None,F,None Detected,Pedestrian,1,Mixed Clothing
ADF421001V,4cbe2a5d-d6f0-4364-bf3f-f0846d6d4ee5,Unknown,N/A,,,,7/29/1982,N/A,,Possible Injury,Outside Right of Way,Cross/Enter Not at Intersection,No Pedestrian Signal,N/A,F,Unknown,Pedestrian,1,N/A
ADJ863001W,4238b6f4-1db0-4f83-a24c-971a5da7ce85,N/A,N/A,,,,12/31/1965,N/A,,Possible Injury,Curb,Standing,No Pedestrian Signal,N/A,M,N/A,Pedestrian,,N/A
ADJ108004Q,81d89b91-ace6-4d4c-a23e-2a0368139013,Unknown,N/A,,,Unknown,9/16/1999,N/A,,Possible Injury,Other,Standing,No Pedestrian Signal,None,M,None Detected,Pedestrian,1,Mixed Clothing
ADK2930004,7e47d379-e064-40e5-ad89-6e62f3b11095,Inattentive,N/A,,,Apparently Normal,10/28/1998,N/A,,Possible Injury,Other,Other,N/A,N/A,M,None Detected,Pedestrian,1,Dark Clothing
ADJ8250024,58c8a5d1-7cac-49ec-a52d-e0495237e689,No Improper Actions,N/A,,,N/A,9/16/1962,N/A,,Suspected Minor Injury,Other,N/A,N/A,N/A,M,None Detected,Pedestrian,1,Mixed Clothing
ADJ558002P,667aab6d-a0b7-470a-95a7-c8fa78a9275c,No Improper Actions,N/A,,,Apparently Normal,7/7/1944,N/A,,No Apparent Injury,Inside Building,N/A,N/A,None,F,N/A,Pedestrian,,N/A
ADI228000J,71101df4-f7f0-4c46-b43b-1e79d1618887,In Roadway Improperly,N/A,,,Apparently Normal,7/25/1963,N/A,,Suspected Minor Injury,Other,Standing,Other,N/A,M,N/A,Pedestrian,1,Mixed Clothing
ADH796003H,628182cc-95c8-44ee-b859-060c811a7b2f,Other,N/A,,,,11/24/2002,N/A,,Possible Injury,Other,Other,N/A,None,M,None Detected,Pedestrian,,Mixed Clothing
ADJ8630024,bcf8fd86-e3b1-4665-979d-38a41de6a8f0,Other,N/A,,,,4/23/1945,N/A,,Suspected Serious Injury,Other,N/A,N/A,N/A,M,None Detected,Other,2,N/A
ADJ522003Z,742024e3-2515-406c-815b-4b8e3d875758,Unknown,N/A,,,Apparently Normal,1/17/1976,N/A,,Possible Injury,Other,Other,No Pedestrian Signal,None,F,None Detected,Pedestrian,1,Unknown
ADG915004C,27271492-6d2c-4b68-adb4-d05320360097,No Improper Actions,N/A,,,Apparently Normal,1/15/1962,N/A,,Possible Injury,N/A,N/A,No Pedestrian Signal,N/A,M,N/A,Pedestrian,,Dark Clothing
ADJ108004K,30ceb9c4-ce74-4534-9786-52fda3df4d93,Unknown,N/A,,,Apparently Normal,6/22/1961,N/A,,Suspected Minor Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,Unknown,None,M,None Detected,Pedestrian,1,Mixed Clothing
ADJ281002W,747cfd7f-fb77-4043-82ab-7cabe4eb4803,No Improper Actions,N/A,,,Apparently Normal,9/17/1942,N/A,,Suspected Minor Injury,Other,Other,N/A,N/A,M,None Detected,Pedestrian,1,Dark Clothing
ADG874000Y,36a6c0e6-a822-4ce3-9b0a-31a5bee83879,N/A,N/A,,,N/A,7/3/1989,N/A,,No Apparent Injury,N/A,N/A,N/A,N/A,M,N/A,Other,1,N/A
ADJ288003J,bcf97485-e3ce-4595-8c00-f4463416dc90,No Improper Actions,N/A,,,,6/20/1989,N/A,,Suspected Serious Injury,In Bikeway,Other,N/A,Helmet,F,None Detected,Bicyclist,1,Dark Clothing
ADI4660026,0f619e38-6168-4038-b309-9655f3918375,N/A,N/A,,,Had Been Drinking,7/7/1979,N/A,,Possible Injury,Other,Other,N/A,N/A,M,N/A,Pedestrian,1,N/A
ADD905006F,480aeba4-fa96-4ef8-bd5e-bc7eed4b6e9a,Other,N/A,,,Apparently Normal,11/26/1991,N/A,,Possible Injury,Other,Other,N/A,N/A,F,None Detected,Pedestrian,2,Mixed Clothing
ADK073000H,9205687e-2f8f-4e0e-95cb-dc617585ff2d,N/A,N/A,,,,8/11/1962,N/A,,Suspected Minor Injury,Other,Other,No Pedestrian Signal,N/A,F,N/A,Pedestrian,,Light Clothing
ADK073000H,c4340fb8-be2b-4ddf-bbb8-dbab1cfe9075,N/A,N/A,,,,12/25/1960,N/A,,Suspected Minor Injury,Other,Other,No Pedestrian Signal,N/A,M,N/A,Pedestrian,,Light Clothing
ADI001002V,d220ad30-e0bd-4bae-a347-1e1e0444394e,N/A,N/A,,,,4/11/2007,N/A,,Suspected Minor Injury,Outside Right of Way,Standing,N/A,N/A,F,N/A,Pedestrian,,Unknown
ADK1760007,f4862b05-b59e-4320-9b2c-9dd9c4a1b2eb,No Improper Actions,N/A,,,Apparently Normal,8/23/1956,N/A,,Possible Injury,Other,Push/Work on Vehicle,N/A,N/A,F,N/A,Pedestrian,1,Light Clothing
ADH567004J,b017afc2-4c6c-454f-a03a-cf8cde09d1d7,No Improper Actions,N/A,,,Apparently Normal,6/1/1979,N/A,,Possible Injury,Curb,Getting Off/On Vehicle,N/A,N/A,F,None Detected,Pedestrian,1,Dark Clothing
MTA0376000B,41568b03-7f2a-4e6d-946a-3e18b4fcd358,No Improper Actions,N/A,,,Apparently Normal,9/15/1959,N/A,,Suspected Minor Injury,Other,Standing,Other,Reflective Clothing,F,None Detected,Pedestrian,,Reflective Material
HS98290006,44cf2f0f-b6bd-484c-91ee-4a70d603520e,Unknown,N/A,,,Apparently Normal,6/25/2000,N/A,,Suspected Minor Injury,On Roadway At Crosswalk,Other,Obeyed Pedestrian Signal,N/A,M,None Detected,Pedestrian,1,Mixed Clothing
ADJ825001Q,441a6fe0-6dd7-4f24-9814-fa9d87676032,No Improper Actions,N/A,,,N/A,9/12/2010,N/A,,No Apparent Injury,Other,Standing,N/A,N/A,M,N/A,Pedestrian,1,Mixed Clothing
ADJ825001Q,fa48f6cb-8a8c-4daf-b2a2-84f332c381db,No Improper Actions,N/A,,,Apparently Normal,3/12/2004,N/A,,Possible Injury,Other,Standing,N/A,N/A,F,None Detected,Pedestrian,1,Mixed Clothing
ADH8450024,a8942dc0-9114-4abc-a42b-5e02028fee1b,N/A,N/A,,,Apparently Normal,10/6/1948,N/A,,Suspected Minor Injury,Other,Walking/Riding Against Traffic,No Pedestrian Signal,N/A,M,N/A,Pedestrian,1,N/A
ADG4100008,b57da791-2af9-40cd-9cdc-49e52c982413,Unknown,Unknown,Unknown,,Apparently Normal,5/13/1964,Unknown,Unknown,Possible Injury,On Roadway Not at Crosswalk,Walking/Riding Against Traffic,No Pedestrian Signal,None,F,None Detected,Pedestrian,,Dark Clothing
ADJ92700BJ,e0742d0e-91e9-49a0-b562-c4b4b33352eb,In Roadway Improperly,N/A,,,,2/25/1985,N/A,,Fatal Injury,Other,Other,No Pedestrian Signal,None,M,Alcohol Present,Pedestrian,1,Dark Clothing
ADK144003M,43276e23-5ab8-467d-b26b-de09a96f4eca,No Improper Actions,N/A,,,,5/8/1960,N/A,,Possible Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,Obeyed Pedestrian Signal,None,F,None Detected,Pedestrian,,Dark Clothing
ADJ22300CK,faabefaa-416d-47a9-9ef8-950596bb72b0,N/A,N/A,,,Apparently Normal,4/7/2007,N/A,,Possible Injury,At Intersection Marked Crosswalk,Cross/Enter at Intersection,Obeyed Pedestrian Signal,N/A,F,N/A,Bicyclist,1,Mixed Clothing
ADK459001W,2632ebe5-8ad0-4795-aa33-fc7e3251dcdd,No Improper Actions,N/A,,,,9/22/2023,N/A,,Possible Injury,Median,Playing,No Pedestrian Signal,N/A,M,N/A,Pedestrian,,Unknown
ADJ685005D,9ad3ce89-d4ff-4785-a1af-a8060153dd16,No Improper Actions,N/A,,,,9/27/1986,N/A,,Possible Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,Obeyed Pedestrian Signal,N/A,F,None Detected,Pedestrian,,Dark Clothing
ADK877000N,02d45112-6873-4393-8781-ef6b933564e4,No Improper Actions,N/A,,,Using Drugs,6/6/1974,N/A,,Possible Injury,Sidewalk,Cross/Enter at Intersection,No Pedestrian Signal,None,M,Combined Substance Present,Pedestrian,1,Mixed Clothing
ADK505001P,2ca68970-57c3-4efe-9702-a63c768415bf,N/A,N/A,,,Apparently Normal,11/17/1993,N/A,,No Apparent Injury,Other,Walking/Riding With Traffic,N/A,Lighting,M,N/A,Bicyclist,,Mixed Clothing
ADK505001P,d149cea0-46cb-40cd-8334-5568c41ba6e8,N/A,N/A,,,Other,2/4/1974,N/A,,Suspected Serious Injury,Other,Walking/Riding With Traffic,N/A,N/A,M,N/A,Bicyclist,,Mixed Clothing
ADK3580031,ef8a3c9a-ad01-464c-8fb3-d3ea69fe875f,N/A,N/A,,,N/A,9/16/1957,N/A,,No Apparent Injury,N/A,N/A,N/A,N/A,F,N/A,Other,,N/A
ADJ624008Y,3d253f27-e656-42a9-ac93-90abe42d9dd6,In Roadway Improperly,N/A,,,Apparently Normal,6/4/2006,N/A,,Suspected Minor Injury,At Intersection But No Crosswalk,Walking To/From School,No Pedestrian Signal,N/A,F,None Detected,Pedestrian,1,Light Clothing
ADJ624008Y,5229e63d-c40b-4f74-8a9a-fff410ea53f8,In Roadway Improperly,N/A,,,Apparently Normal,7/28/2005,N/A,,Suspected Minor Injury,At Intersection But No Crosswalk,Walking To/From School,No Pedestrian Signal,N/A,M,None Detected,Pedestrian,1,Light Clothing
ADK6400019,bb7254fe-91f9-4a54-b4d9-30993007fbae,Unknown,N/A,,,Had Been Drinking,3/20/2001,N/A,,Possible Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,N/A,None,M,None Detected,Pedestrian,,Dark Clothing
ADK853000P,e9f6ba0e-c9b2-44dc-a2f5-05bc98b50260,Unknown,N/A,,,N/A,9/8/2007,N/A,,Possible Injury,On Roadway At Crosswalk,Other,Obeyed Pedestrian Signal,None,F,Unknown,Pedestrian,1,Mixed Clothing
ADK272002D,6849baf3-feb8-42b3-8f4d-15146103d787,No Improper Actions,N/A,,,N/A,3/2/1991,N/A,,Suspected Serious Injury,Sidewalk,Cross/Enter at Intersection,N/A,None,M,N/A,Machine Operator/Rider,,Dark Clothing
ADK437001F,99f0d504-1013-4f65-8255-94a432c593fe,No Improper Actions,N/A,,,,12/31/2006,N/A,,Possible Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,Obeyed Pedestrian Signal,None,M,N/A,Pedestrian,1,Mixed Clothing
ADK2980026,b4ec94c8-dbd5-441a-89d2-229ead51b25b,Dart Dash,N/A,,,Apparently Normal,1/6/1951,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Walking/Riding With Traffic,N/A,None,M,N/A,Bicyclist,1,N/A
BSPDA2120005,82d293bc-841e-420a-8632-2b4933ce996c,N/A,N/A,,,,4/17/2008,N/A,,Possible Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,N/A,N/A,M,N/A,Pedestrian,,N/A
ADJ8650035,de8665fd-c1fa-48d3-90f6-e31ea7fcc460,Entering Exiting Parked Standing Vehicle,N/A,N/A,,Apparently Normal,11/22/1932,N/A,,Suspected Minor Injury,Shoulder,Standing,Unknown,Other,M,Unknown,Pedestrian,1,Mixed Clothing
ADF880005F,8d8019b4-9efc-4d4a-8071-c7f6985b8a22,No Improper Actions,N/A,,,Apparently Normal,7/20/1963,N/A,,Possible Injury,Sidewalk,Walking/Riding on Sidewalk,N/A,N/A,F,None Detected,Pedestrian,,Unknown
ADK075002R,d3ae5ff5-99c6-4593-94bd-74b9b3c3a4fb,Unknown,N/A,,,N/A,10/10/2010,N/A,,Suspected Serious Injury,Unknown,Cross/Enter at Intersection,Unknown,N/A,M,N/A,Other,1,Unknown
MTA0434000P,1024fa20-48b7-4f75-8741-76ce00ad8208,Entering Exiting Parked Standing Vehicle,N/A,,,Apparently Normal,5/30/1967,N/A,,Possible Injury,Other,Other,N/A,None,M,None Detected,Pedestrian,,Dark Clothing
ADK407004J,6933da42-2f50-4ad7-855d-440ba13ee8a8,No Improper Actions,N/A,,,Apparently Normal,1/17/1977,N/A,,Possible Injury,Shoulder,Walking/Riding With Traffic,No Pedestrian Signal,N/A,M,N/A,Pedestrian,,Dark Clothing
ADJ60800B6,4cbf9ce6-a378-4c27-96b5-0570cb9010d0,Unknown,N/A,,,Apparently Normal,3/21/2006,N/A,,Possible Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,Unknown,None,M,N/A,Other Conveyance,1,Unknown
MTA0418000X,b6473895-6db6-481b-999f-d8416a29d6d7,No Improper Actions,N/A,,,Physical Defects,1/27/1951,N/A,,Possible Injury,Curb,Getting Off/On Vehicle,N/A,N/A,M,N/A,Pedestrian,1,Dark Clothing
ADK503002S,b6c539ca-e3e7-46a5-abdb-311e21bdd0f0,Unknown,N/A,,,,3/16/2007,N/A,,Suspected Minor Injury,At Intersection But No Crosswalk,Walking/Riding With Traffic,Unknown,None,M,N/A,Machine Operator/Rider,,Unknown
ADK366002L,73987abe-2429-4116-8b5b-2b258f265277,Failure to Obey Traffic Signs Signals or Officer,N/A,N/A,,,1/1/2000,N/A,,Suspected Serious Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,Disobeyed Pedestrian Signal,Unknown,M,Unknown,Other,1,N/A
ADK7040011,6c5672d1-d54a-46f7-bb89-613f7394d1f3,No Improper Actions,N/A,,,Apparently Normal,10/9/1979,N/A,,Possible Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,Obeyed Pedestrian Signal,N/A,F,None Detected,Pedestrian,,N/A
ADJ60800B7,436cbcef-9f9c-478f-b291-6427815ed996,No Improper Actions,N/A,,,Apparently Normal,10/11/2000,N/A,,Possible Injury,N/A,Other Working,N/A,None,M,N/A,Pedestrian,1,Reflective Material
ADJ92700BK,390f53cf-0cb3-4586-b65a-d6fb23c3dbaf,Dart Dash,Other,Blood,0.12,,6/16/1950,Evidence Test Given,N/A,Fatal Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,Disobeyed Pedestrian Signal,None,M,Alcohol Present,Pedestrian,1,Dark Clothing
ADK564002H,9f9e2b86-55ab-40cd-8665-2b237ec78f7d,Unknown,N/A,,,Unknown,1/9/2001,N/A,,Suspected Minor Injury,At Intersection Marked Crosswalk,Cross/Enter Not at Intersection,N/A,N/A,F,N/A,Bicyclist,,Dark Clothing
ADI140007P,e65db1aa-048b-43aa-bf93-001d748da376,No Improper Actions,N/A,,,Apparently Normal,5/18/1973,N/A,,Possible Injury,Sidewalk,Walking/Riding on Sidewalk,N/A,N/A,M,None Detected,Pedestrian,1,Light Clothing
ADH58400HT,0134e8df-4778-4f2a-8342-2e5752ef28d0,No Improper Actions,N/A,,,Apparently Normal,3/7/1988,N/A,,Possible Injury,On Roadway Not at Crosswalk,Walking/Riding Against Traffic,No Pedestrian Signal,None,F,None Detected,Pedestrian,1,Dark Clothing
ADK838000T,6c39fd1d-1305-4d13-86c3-772135e6f75d,No Improper Actions,N/A,,,,11/4/1989,N/A,,Suspected Minor Injury,Sidewalk,Cross/Enter Not at Intersection,No Pedestrian Signal,None,M,None Detected,Other Pedalcyclist,,N/A
ADK4500042,4298a358-e159-48e4-9f0d-42da9a9b7389,Unknown,Unknown,,,,6/18/1998,N/A,,Suspected Minor Injury,Other,Walking/Riding With Traffic,No Pedestrian Signal,None,M,Unknown,Bicyclist,,Light Clothing
ADK8690017,d4507801-026d-4a16-92c9-885d0873680c,No Improper Actions,N/A,,,N/A,5/4/1975,N/A,,Possible Injury,N/A,Cross/Enter at Intersection,N/A,None,M,N/A,Pedestrian,1,Mixed Clothing
ADK7550016,0ea6c205-fda6-4814-9483-ca94f60a44e7,N/A,N/A,,,,4/15/1999,N/A,,Suspected Minor Injury,At Intersection Marked Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,N/A,M,N/A,Pedestrian,,N/A
ADK597001D,0ee7bfc6-73f8-4266-a84b-86d140ec780b,Unknown,N/A,,,Unknown,1/1/1999,N/A,,Suspected Serious Injury,Other,Standing,Unknown,None,M,Unknown,Pedestrian,1,Mixed Clothing
ADJ22300BC,c0b0029f-934f-4559-921c-a601f92bc263,Unknown,N/A,,,N/A,11/13/1963,N/A,,Possible Injury,Other,Walking/Riding With Traffic,Other,N/A,F,N/A,Pedestrian,1,Mixed Clothing
ADK8850005,310e5ce8-1ec5-4833-a1dc-02aa1232917a,Failure to Yield Right of Way,N/A,,,Apparently Normal,8/10/2009,N/A,,Suspected Minor Injury,On Roadway At Crosswalk,Walking To/From School,No Pedestrian Signal,None,F,None Detected,Pedestrian,1,Mixed Clothing
ADK540001J,1ff86cd2-e7f2-4cd6-9219-c7583fea0d30,Inattentive,N/A,,,Apparently Normal,1/28/1992,N/A,,Suspected Minor Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,Unknown,N/A,M,N/A,Pedestrian,1,N/A
ADK622001V,2e7db56e-77ad-45a3-8a47-ad7037cc4dbf,N/A,N/A,,,,8/18/1950,N/A,,No Apparent Injury,Other,N/A,N/A,N/A,F,N/A,Other,1,N/A
ADK622001V,866d891a-9fa7-446d-9f80-5c4279bc4c23,N/A,N/A,,,,6/5/1949,N/A,,No Apparent Injury,Other,N/A,N/A,N/A,M,N/A,Other,1,N/A
ADJ4290076,fb924cfc-e9a8-4c6d-9d68-b3af8e6793cf,Dart Dash,N/A,,,Apparently Normal,5/25/2016,N/A,,Suspected Minor Injury,On Roadway At Crosswalk,Walking To/From School,No Pedestrian Signal,None,M,N/A,Pedestrian,1,Mixed Clothing
